Date,Temperature (°C),Dew Point (°C),Humidity (%),Wind Speed (km/h),Pressure (hPa),Precipitation (mm)
2018-4-19,17.4,9.0,61.0,15.5,1003.5,0.0
2018-4-20,17.5,6.2,47.7,27.7,1000.0,0.0
2018-4-21,15.7,3.9,46.9,32.1,1002.1,0.0
2018-4-22,17.1,3.5,41.7,18.5,1002.3,0.0
2018-4-23,18.1,7.7,55.9,6.3,1001.3,0.0
2018-4-24,18.8,8.9,56.6,10.6,1001.7,0.0
2018-4-25,20.9,7.4,48.5,12.8,1000.7,0.0
2018-4-26,21.2,8.5,47.0,11.0,998.2,0.0
2018-4-27,21.3,10.6,53.9,10.8,997.7,0.0
2018-4-28,22.5,11.6,55.6,12.6,999.3,0.0
2018-4-29,22.7,12.9,58.1,7.3,999.5,0.0
2018-4-30,21.5,13.9,64.3,12.6,998.1,0.0
2018-5-1,22.2,11.4,56.1,16.6,997.9,0.0
2018-5-2,21.8,9.8,51.2,8.0,997.8,0.0
2018-5-3,22.8,10.7,50.1,7.9,995.9,0.0
2018-5-4,25.4,12.5,48.2,8.6,994.3,0.0
2018-5-5,23.6,13.0,53.7,13.7,993.8,0.0
2018-5-6,18.1,14.1,78.2,9.2,995.9,0.0
2018-5-7,18.9,12.7,69.4,12.8,994.4,0.0
2018-5-8,19.8,12.7,66.3,13.7,992.4,0.0
2018-5-9,20.0,11.9,63.7,8.3,992.9,0.0
2018-5-10,20.2,11.9,62.0,9.7,993.4,0.0
2018-5-11,19.2,13.3,70.1,13.2,995.5,0.0
2018-5-12,19.0,10.9,60.2,26.6,996.6,0.0
2018-5-13,18.3,5.4,45.1,22.4,997.4,0.0
2018-5-14,19.7,9.0,53.5,9.2,1000.8,0.0
2018-5-15,21.9,11.2,55.4,8.3,1003.1,0.0
2018-5-16,24.1,10.8,47.4,8.8,1002.7,0.0
2018-5-17,25.2,9.9,42.0,9.0,1002.0,0.0
2018-5-18,24.9,11.4,44.8,6.5,1001.2,0.0
2018-5-19,25.9,10.8,41.8,8.4,998.6,0.0
2018-5-20,24.4,13.2,51.4,10.9,998.8,0.0
2018-5-21,25.3,15.0,55.4,13.7,998.5,0.0
2018-5-22,24.5,15.5,58.8,18.4,999.5,0.0
2018-5-23,23.8,14.7,59.4,14.2,1002.2,0.0
2018-5-24,23.0,15.7,65.0,8.3,997.4,0.0
2018-5-25,21.3,14.3,66.1,17.9,994.5,0.0
2018-5-26,23.9,14.3,55.8,24.6,995.9,0.0
2018-5-27,23.0,14.2,57.9,23.8,998.4,0.0
2018-5-28,23.1,13.7,56.8,23.9,999.2,0.0
2018-5-29,23.9,13.5,53.3,27.0,997.6,0.0
2018-5-30,23.9,14.6,57.1,21.0,996.7,0.0
2018-5-31,23.7,11.7,47.9,23.1,996.7,0.0
2018-6-1,24.6,7.7,34.4,23.9,997.2,0.0
2018-6-2,27.0,11.2,38.4,23.0,998.1,0.0
2018-6-3,24.5,9.2,41.1,24.4,997.7,0.0
2018-6-4,24.1,8.5,41.3,17.8,995.2,0.0
2018-6-5,25.5,12.9,48.3,8.3,995.0,0.0
2018-6-6,26.3,12.5,45.6,10.9,999.6,0.0
2018-6-7,25.9,11.8,45.7,12.2,1002.4,0.0
2018-6-8,26.6,14.8,51.6,14.3,1002.1,0.0
2018-6-9,27.7,13.1,45.4,9.9,997.0,0.0
2018-6-10,25.1,14.6,55.5,13.4,991.6,0.0
2018-6-11,24.2,16.6,64.2,13.4,991.8,0.0
2018-6-12,26.1,10.8,43.1,20.1,992.1,0.0
2018-6-13,25.8,10.4,40.6,16.0,989.7,0.0
2018-6-14,25.8,12.5,47.3,10.7,990.5,0.0
2018-6-15,26.8,13.1,45.4,12.8,992.7,0.0
2018-6-16,23.4,15.2,61.1,9.6,993.2,0.0
2018-6-17,22.4,16.5,70.0,9.0,995.4,0.0
2018-6-18,23.3,16.4,67.2,11.2,995.0,0.0
2018-6-19,23.7,16.2,64.2,9.9,996.0,0.0
2018-6-20,24.3,16.9,64.2,10.9,999.7,0.0
2018-6-21,24.1,17.1,66.5,10.3,1000.1,0.0
2018-6-22,23.4,17.4,70.1,10.2,999.2,0.0
2018-6-23,24.8,15.8,60.4,10.3,997.7,0.0
2018-6-24,25.4,16.3,58.1,23.7,997.7,0.0
2018-6-25,25.6,15.9,56.8,18.0,996.5,0.0
2018-6-26,24.2,16.3,63.4,11.7,995.1,0.0
2018-6-27,23.7,16.4,64.9,11.3,993.1,0.0
2018-6-28,22.9,16.5,68.5,18.3,992.7,0.0
2018-6-29,22.6,15.6,67.5,14.8,993.1,0.0
2018-6-30,23.5,15.0,61.2,11.2,992.9,0.0
2018-7-1,25.5,14.7,54.3,13.5,997.5,0.0
2018-7-2,28.9,13.6,40.6,22.8,999.3,0.0
2018-7-3,30.5,12.8,34.8,24.0,998.2,0.0
2018-7-4,31.8,12.3,31.6,23.1,996.7,0.0
2018-7-5,30.0,15.2,41.1,24.4,995.5,0.0
2018-7-6,29.7,15.3,42.6,22.6,995.8,0.0
2018-7-7,29.3,12.4,36.4,21.2,993.8,0.0
2018-7-8,28.1,13.7,42.5,22.8,993.2,0.0
2018-7-9,27.3,17.0,54.4,17.8,994.9,0.0
2018-7-10,26.4,17.0,58.1,20.6,996.5,0.0
2018-7-11,27.3,17.9,57.8,25.9,996.1,0.0
2018-7-12,29.2,17.1,48.8,28.1,995.7,0.0
2018-7-13,29.9,13.7,38.7,30.9,994.7,0.0
2018-7-14,29.9,14.8,40.2,36.9,994.6,0.0
2018-7-15,29.0,13.4,39.0,32.6,994.9,0.0
2018-7-16,29.0,12.3,36.1,27.0,995.8,0.0
2018-7-17,28.7,13.0,41.5,13.8,995.1,0.0
2018-7-18,27.4,15.3,48.4,19.9,991.1,0.0
2018-7-19,27.7,14.9,47.8,20.6,993.0,0.0
2018-7-20,27.8,17.0,53.1,24.5,994.2,0.0
2018-7-21,29.3,17.0,48.4,29.1,995.9,0.0
2018-7-22,30.1,15.8,43.5,20.3,996.2,0.0
2018-7-23,29.2,15.0,44.4,11.7,992.2,0.0
2018-7-24,26.9,16.1,52.9,18.5,988.8,0.0
2018-7-25,27.2,16.3,53.3,16.9,990.7,0.0
2018-7-26,26.7,17.5,58.3,8.8,994.3,0.0
2018-7-27,24.4,18.3,70.4,9.3,997.0,0.0
2018-7-28,26.0,19.1,65.5,23.1,994.8,0.0
2018-7-29,28.0,18.5,57.8,20.9,992.8,0.0
2018-7-30,29.0,18.7,54.8,19.1,992.4,0.0
2018-7-31,28.3,19.1,58.6,16.8,993.7,0.0
2018-8-1,29.6,19.8,57.3,20.1,995.6,0.0
2018-8-2,33.0,19.3,44.7,26.0,994.8,0.0
2018-8-3,30.7,18.2,48.2,27.5,993.5,0.0
2018-8-4,28.8,18.4,53.8,21.2,993.2,0.0
2018-8-5,28.9,17.3,50.4,21.2,995.7,0.0
2018-8-6,28.9,16.1,48.2,16.9,997.1,0.0
2018-8-7,29.4,16.8,47.4,21.5,996.5,0.0
2018-8-8,30.4,15.8,42.9,26.2,996.4,0.0
2018-8-9,31.1,16.4,42.5,27.6,997.4,0.0
2018-8-10,30.7,14.8,39.4,29.1,998.2,0.0
2018-8-11,28.9,12.8,38.4,26.5,997.5,0.0
2018-8-12,27.8,11.5,37.2,25.1,998.3,0.0
2018-8-13,27.2,12.3,40.3,26.0,996.5,0.0
2018-8-14,28.1,14.3,44.1,24.0,995.2,0.0
2018-8-15,26.7,16.3,55.6,15.3,994.2,0.0
2018-8-16,26.5,18.0,62.6,10.2,995.0,0.0
2018-8-17,26.2,18.6,66.0,15.1,995.9,0.0
2018-8-18,27.9,17.7,56.4,19.4,994.6,0.0
2018-8-19,31.4,15.4,40.0,25.2,993.1,0.0
2018-8-20,29.6,14.9,42.0,23.2,993.5,0.0
2018-8-21,27.8,16.5,51.7,17.6,996.0,0.0
2018-8-22,27.4,17.2,55.8,17.3,997.2,0.0
2018-8-23,27.4,18.1,60.3,12.5,995.6,0.0
2018-8-24,26.9,17.7,60.6,9.3,995.1,0.0
2018-8-25,24.6,18.9,73.3,10.3,995.6,0.0
2018-8-26,25.8,18.1,65.5,13.6,994.3,0.0
2018-8-27,26.7,15.8,53.5,13.0,991.9,0.0
2018-8-28,25.6,19.2,69.5,8.7,992.9,0.0
2018-8-29,27.2,18.2,60.0,17.7,994.9,0.0
2018-8-30,28.4,17.0,52.1,21.6,997.1,0.0
2018-8-31,28.9,18.7,55.3,18.4,998.0,0.0
2018-9-1,28.0,18.5,59.9,13.6,998.4,0.0
2018-9-2,28.1,19.7,62.6,13.3,997.7,0.0
2018-9-3,28.0,18.3,57.8,18.2,995.4,0.0
2018-9-4,27.1,15.9,54.8,13.5,994.7,0.0
2018-9-5,26.1,15.8,55.8,13.5,994.3,0.0
2018-9-6,25.1,15.9,59.5,18.0,995.0,0.0
2018-9-7,25.3,13.7,52.0,16.0,996.9,0.0
2018-9-8,26.0,13.3,48.1,16.2,998.5,0.0
2018-9-9,26.7,13.0,43.9,23.9,999.2,0.0
2018-9-10,26.2,11.1,39.2,25.1,1001.5,0.0
2018-9-11,25.0,9.0,36.6,24.8,1003.2,0.0
2018-9-12,25.9,8.6,34.6,27.6,1001.0,0.0
2018-9-13,23.1,13.2,54.6,21.5,997.8,0.0
2018-9-14,22.9,13.3,56.8,14.5,1000.8,0.0
2018-9-15,24.2,13.4,52.3,16.4,1002.3,0.0
2018-9-16,26.4,12.5,43.8,23.0,1002.8,0.0
2018-9-17,26.9,12.9,43.1,27.9,1002.5,0.0
2018-9-18,25.5,12.0,44.1,29.7,1001.7,0.0
2018-9-19,25.1,13.3,48.7,29.6,1001.3,0.0
2018-9-20,24.6,13.5,50.8,23.4,1000.2,0.0
2018-9-21,23.9,14.3,56.5,16.7,1000.3,0.0
2018-9-22,23.0,15.0,63.8,11.4,1001.5,0.0
2018-9-23,23.5,14.0,59.7,12.4,1003.0,0.0
2018-9-24,23.9,12.6,53.4,6.3,1000.8,0.0
2018-9-25,20.9,11.1,55.1,25.1,1001.6,0.0
2018-9-26,18.8,7.1,47.5,37.3,1004.0,0.0
2018-9-27,20.9,7.3,41.8,18.8,1003.1,0.0
2018-9-28,20.4,12.2,59.1,13.0,1002.0,0.0
2018-9-29,23.1,15.2,63.5,12.3,999.4,0.0
2018-9-30,20.3,17.6,85.0,11.3,999.3,0.0
2018-10-1,19.3,17.1,87.3,12.7,999.0,0.0
2018-10-2,19.5,15.3,79.3,8.0,1003.4,0.0
2018-10-3,19.8,12.7,67.3,7.9,1005.3,0.0
2018-10-4,21.0,13.3,63.4,16.6,1007.9,0.0
2018-10-5,20.7,8.5,45.8,25.8,1009.2,0.0
2018-10-6,19.6,10.3,55.5,25.2,1005.5,0.0
2018-10-7,18.3,12.3,70.1,12.2,1001.2,0.0
2018-10-8,18.0,12.3,71.8,13.5,1001.1,0.0
2018-10-9,18.8,12.3,68.3,15.9,1001.5,0.0
2018-10-10,20.0,10.7,56.5,22.6,1002.4,0.0
2018-10-11,19.9,11.3,58.6,22.4,1002.9,0.0
2018-10-12,20.5,12.5,60.8,21.2,1003.2,0.0
2018-10-13,20.7,13.9,65.7,21.8,1004.0,0.0
2018-10-14,19.6,14.0,70.9,13.8,1004.7,0.0
2018-10-15,19.7,13.8,70.4,12.0,1003.6,0.0
2018-10-16,18.8,14.0,75.3,14.5,1004.3,0.0
2018-10-17,19.5,14.0,71.5,14.2,1001.8,0.0
2018-10-18,19.1,14.7,77.3,8.3,1001.4,0.0
2018-10-19,19.0,15.0,79.7,9.4,1001.9,0.0
2018-10-20,18.9,14.1,75.4,13.5,1002.0,0.0
2018-10-21,18.5,10.6,61.7,19.9,1001.6,0.0
2018-10-22,17.8,10.6,64.1,14.0,1002.0,0.0
2018-10-23,16.5,12.5,78.0,6.3,1001.1,0.0
2018-10-24,17.7,13.0,75.2,10.7,993.3,0.0
2018-10-25,12.1,3.1,58.1,22.2,995.8,0.0
2018-10-26,10.2,1.0,55.6,8.2,1006.1,0.0
2018-10-27,12.6,2.1,54.4,6.2,1009.2,0.0
2018-10-28,14.9,7.7,63.8,8.0,1010.9,0.0
2018-10-29,15.9,9.3,68.5,5.0,1009.5,0.0
2018-10-30,15.5,7.0,62.3,4.2,1008.9,0.0
2018-10-31,17.5,6.9,53.5,9.8,1010.2,0.0
2018-11-1,18.8,8.5,56.2,11.5,1009.8,0.0
2018-11-2,17.5,7.4,57.7,11.5,1007.4,0.0
2018-11-3,17.2,8.4,58.4,19.5,1005.5,0.0
2018-11-4,17.4,5.4,48.9,17.8,1005.2,0.0
2018-11-5,15.5,7.6,61.1,17.4,1003.6,0.0
2018-11-6,16.4,8.8,62.8,20.2,1002.7,0.0
2018-11-7,14.8,9.3,71.5,10.4,1004.6,0.0
2018-11-8,13.8,10.8,82.2,7.4,1004.0,0.0
2018-11-9,14.7,9.2,71.9,11.4,1003.3,0.0
2018-11-10,14.0,8.7,72.2,9.7,1003.8,0.0
2018-11-11,13.7,8.7,73.6,12.4,1006.6,0.0
2018-11-12,16.6,8.0,57.4,21.4,1009.2,0.0
2018-11-13,14.8,4.6,52.2,28.3,1008.1,0.0
2018-11-14,12.8,3.0,52.6,25.8,1005.5,0.0
2018-11-15,11.0,1.9,54.7,28.2,1003.8,0.0
2018-11-16,11.1,2.8,57.4,21.2,1007.1,0.0
2018-11-17,9.5,6.3,80.9,9.7,1007.4,0.0
2018-11-18,12.2,11.1,93.8,7.4,1003.5,0.0
2018-11-19,16.6,13.1,80.0,17.0,1000.8,0.0
2018-11-20,16.4,14.5,89.1,5.9,1005.8,0.0
2018-11-21,16.2,13.2,82.8,9.2,1000.2,0.0
2018-11-22,13.8,11.6,86.8,12.0,999.9,0.0
2018-11-23,12.2,6.0,66.7,31.4,1004.9,0.0
2018-11-24,10.8,5.2,69.2,20.9,1007.6,0.0
2018-11-25,8.1,5.9,86.5,4.5,1006.1,0.0
2018-11-26,10.6,9.4,92.5,11.2,1000.8,0.0
2018-11-27,17.4,13.0,75.8,24.4,998.1,0.0
2018-11-28,14.1,12.2,88.9,17.4,996.1,0.0
2018-11-29,10.3,7.9,85.2,21.6,1000.2,0.0
2018-11-30,8.9,4.6,74.9,28.5,1000.4,0.0
2018-12-1,7.8,3.5,74.7,18.7,1005.4,0.0
2018-12-2,9.2,5.8,79.5,8.7,1005.3,0.0
2018-12-3,11.0,8.1,82.9,9.2,1002.2,0.0
2018-12-4,10.0,7.5,84.8,13.4,996.5,0.0
2018-12-5,11.6,8.0,79.3,19.2,996.9,0.0
2018-12-6,6.5,0.0,63.5,39.3,1003.0,0.0
2018-12-7,6.5,-1.6,56.9,32.1,1004.8,0.0
2018-12-8,5.0,-1.5,65.9,6.7,1003.5,0.0
2018-12-9,6.3,4.3,87.7,6.0,999.1,0.0
2018-12-10,10.5,8.9,90.7,12.4,992.5,0.0
2018-12-11,8.6,5.1,79.5,7.8,997.7,0.0
2018-12-12,6.7,3.4,81.0,9.6,1003.3,0.0
2018-12-13,3.7,1.3,85.4,6.5,1008.3,0.0
2018-12-14,9.8,7.7,87.0,7.5,1006.6,0.0
2018-12-15,11.3,8.8,85.5,9.9,1006.1,0.0
2018-12-16,11.0,9.5,91.3,8.5,1000.4,0.0
2018-12-17,10.8,9.3,91.1,7.3,1000.6,0.0
2018-12-18,8.3,7.6,94.9,6.3,1000.0,0.0
2018-12-19,7.2,3.2,76.5,24.0,1002.0,0.0
2018-12-20,5.1,0.3,71.7,23.6,1010.2,0.0
2018-12-21,4.4,1.6,82.9,6.7,1013.5,0.0
2018-12-22,5.0,2.8,87.3,3.4,1011.4,0.0
2018-12-23,7.0,4.2,84.0,4.4,1008.6,0.0
2018-12-24,7.3,4.8,86.1,10.9,1007.1,0.0
2018-12-25,9.1,6.7,85.2,23.5,999.8,0.0
2018-12-26,4.4,-2.7,60.3,31.8,1006.3,0.0
2018-12-27,4.3,-3.5,57.6,28.1,1007.3,0.0
2018-12-28,5.1,-2.3,60.9,22.1,1007.3,0.0
2018-12-29,3.3,-1.5,72.7,6.9,1006.2,0.0
2018-12-30,4.1,-0.2,75.5,8.6,1007.8,0.0
2018-12-31,3.9,-0.8,74.1,5.2,1006.0,0.0
2019-1-1,6.2,4.4,88.5,10.7,999.9,0.0
2019-1-2,6.3,3.7,83.7,18.4,996.1,0.0
2019-1-3,6.7,5.1,90.2,11.7,993.9,0.0
2019-1-4,6.0,2.5,78.9,6.8,1001.6,0.0
2019-1-5,6.2,3.6,84.4,9.2,998.9,0.0
2019-1-6,4.1,0.8,81.0,8.8,995.3,0.0
2019-1-7,3.9,-1.6,68.3,17.0,1000.0,0.0
2019-1-8,1.5,-5.1,62.6,21.4,1002.8,0.0
2019-1-9,2.3,-3.1,69.6,15.7,1002.8,0.0
2019-1-10,10.6,7.9,83.8,27.0,999.2,0.0
2019-1-11,10.8,8.9,88.4,14.5,1001.6,0.0
2019-1-12,8.2,7.3,93.5,13.1,997.0,0.0
2019-1-13,7.1,4.5,84.2,14.9,993.7,0.0
2019-1-14,6.2,4.0,86.1,5.4,991.0,0.0
2019-1-15,5.4,3.3,86.6,20.6,986.4,0.0
2019-1-16,2.4,-5.3,58.7,26.8,1001.1,0.0
2019-1-17,3.4,-1.5,73.2,4.2,1007.9,0.0
2019-1-18,5.9,2.4,79.9,7.8,1006.8,0.0
2019-1-19,9.0,6.9,87.1,5.9,1006.6,0.0
2019-1-20,9.8,7.5,86.3,8.4,1005.0,0.0
2019-1-21,9.4,8.0,91.6,4.6,1002.5,0.0
2019-1-22,9.8,7.5,86.1,5.0,1002.6,0.0
2019-1-23,10.0,7.8,87.2,13.2,996.2,0.0
2019-1-24,8.7,7.5,92.1,12.6,987.4,0.0
2019-1-25,11.0,5.9,73.8,25.4,989.8,0.0
2019-1-26,9.2,7.0,86.5,17.5,987.3,0.0
2019-1-27,8.5,6.9,90.0,5.2,993.5,0.0
2019-1-28,9.0,6.9,88.1,10.4,997.2,0.0
2019-1-29,11.8,8.5,80.8,17.8,997.0,0.0
2019-1-30,9.9,7.0,83.0,19.5,992.7,0.0
2019-1-31,9.5,6.8,83.6,15.3,994.6,0.0
2019-2-1,9.5,3.9,69.9,8.5,1004.1,0.0
2019-2-2,9.0,5.4,79.9,7.4,1007.1,0.0
2019-2-3,10.0,6.6,81.3,8.7,1007.1,0.0
2019-2-4,10.5,6.1,77.8,4.7,1006.1,0.0
2019-2-5,11.3,4.5,67.5,8.5,1001.9,0.0
2019-2-6,11.7,6.1,70.7,11.6,998.9,0.0
2019-2-7,9.5,4.9,74.0,16.1,999.2,0.0
2019-2-8,8.2,4.2,76.6,22.8,1000.6,0.0
2019-2-9,8.5,3.2,69.8,21.2,1003.7,0.0
2019-2-10,6.3,2.8,79.1,12.4,1007.1,0.0
2019-2-11,7.9,4.3,80.2,13.0,1004.7,0.0
2019-2-12,13.4,8.3,72.6,21.7,1000.8,0.0
2019-2-13,9.4,7.9,90.4,12.7,1000.5,0.0
2019-2-14,8.1,1.9,65.8,39.5,1001.2,0.0
2019-2-15,6.5,-0.3,62.3,34.5,1001.0,0.0
2019-2-16,8.5,0.5,58.0,30.6,1005.8,0.0
2019-2-17,7.8,1.2,64.3,20.9,1008.5,0.0
2019-2-18,7.9,2.6,71.5,12.2,1008.3,0.0
2019-2-19,8.8,3.7,73.3,6.8,1007.5,0.0
2019-2-20,9.4,5.9,79.9,5.2,1006.5,0.0
2019-2-21,9.6,5.9,79.6,9.9,1007.5,0.0
2019-2-22,8.9,1.8,65.7,8.3,1004.4,0.0
2019-2-23,7.3,4.6,83.0,10.1,1002.4,0.0
2019-2-24,5.5,1.2,74.1,29.0,1008.2,0.0
2019-2-25,6.8,2.5,74.5,31.1,1006.0,0.0
2019-2-26,9.1,4.0,70.9,38.0,999.3,0.0
2019-2-27,7.2,-1.1,56.5,30.3,998.7,0.0
2019-2-28,6.2,-1.2,61.1,18.2,1002.9,0.0
2019-3-1,7.3,2.5,73.8,7.5,1000.0,0.0
2019-3-2,10.4,6.2,77.5,9.7,996.3,0.0
2019-3-3,11.1,5.7,70.9,20.0,999.3,0.0
2019-3-4,8.2,-2.4,49.4,23.0,1002.1,0.0
2019-3-5,8.3,1.3,65.3,8.9,1003.5,0.0
2019-3-6,12.7,7.8,72.7,14.8,1007.3,0.0
2019-3-7,12.0,7.0,75.9,3.8,1010.0,0.0
2019-3-8,12.7,6.3,69.3,6.6,1009.7,0.0
2019-3-9,12.2,8.3,79.1,9.6,1010.5,0.0
2019-3-10,13.0,8.1,74.4,8.3,1007.6,0.0
2019-3-11,13.0,8.0,73.5,14.0,1002.4,0.0
2019-3-12,13.3,10.6,84.9,18.5,996.9,0.0
2019-3-13,11.8,8.1,79.2,17.0,993.3,0.0
2019-3-14,9.5,5.2,75.1,10.2,997.6,0.0
2019-3-15,9.5,6.2,80.6,14.9,993.6,0.0
2019-3-16,9.8,2.3,62.4,15.2,1001.2,0.0
2019-3-17,11.3,5.5,70.3,7.2,1005.3,0.0
2019-3-18,12.7,8.1,75.9,9.1,1004.5,0.0
2019-3-19,13.3,9.0,77.2,6.3,1004.1,0.0
2019-3-20,13.6,9.3,76.7,10.4,1004.9,0.0
2019-3-21,14.4,4.7,53.4,32.8,1006.7,0.0
2019-3-22,13.8,2.6,47.7,34.1,1007.1,0.0
2019-3-23,14.3,0.1,39.2,30.9,1002.9,0.0
2019-3-24,11.4,-7.4,27.2,29.1,1001.9,0.0
2019-3-25,11.6,-1.8,40.3,27.3,998.5,0.0
2019-3-26,11.9,3.9,61.5,5.5,996.4,0.0
2019-3-27,11.9,4.3,62.5,16.5,1003.4,0.0
2019-3-28,11.9,3.9,59.6,14.4,1004.4,0.0
2019-3-29,11.0,-1.4,43.7,34.4,999.6,0.0
2019-3-30,10.0,-3.5,40.1,43.6,997.0,0.0
2019-3-31,11.4,-0.5,44.4,33.5,994.5,0.0
2019-4-1,12.4,2.4,51.6,20.5,996.1,0.0
2019-4-2,14.3,1.9,46.7,22.0,998.6,0.0
2019-4-3,13.3,4.6,56.3,22.7,999.8,0.0
2019-4-4,12.1,4.6,61.7,10.9,1000.7,0.0
2019-4-5,12.4,5.9,68.4,6.5,1000.7,0.0
2019-4-6,12.2,9.8,85.8,6.9,995.6,0.0
2019-4-7,14.9,12.3,85.4,7.8,996.3,0.0
2019-4-8,15.3,12.3,83.3,13.7,992.7,0.0
2019-4-9,12.1,9.6,86.0,17.0,989.4,0.0
2019-4-10,12.3,10.8,90.7,14.0,993.6,0.0
2019-4-11,15.1,10.4,75.9,14.5,999.3,0.0
2019-4-12,14.5,10.4,77.7,8.4,1001.7,0.0
2019-4-13,15.4,9.7,70.5,8.3,998.4,0.0
2019-4-14,14.8,9.5,72.4,10.8,996.8,0.0
2019-4-15,13.2,8.9,76.5,9.4,998.8,0.0
2019-4-16,12.9,6.0,64.6,20.8,999.4,0.0
2019-4-17,12.8,2.5,51.5,21.5,1001.9,0.0
2019-4-18,12.8,3.2,54.1,21.8,1004.0,0.0
2019-4-19,11.9,1.8,51.2,29.1,1006.5,0.0
2019-4-20,10.8,-0.7,45.9,28.4,1008.1,0.0
2019-4-21,11.0,-1.6,42.8,24.6,1008.7,0.0
2019-4-22,13.5,-0.4,39.3,22.3,1006.6,0.0
2019-4-23,16.0,2.7,43.3,6.3,1009.3,0.0
2019-4-24,17.1,6.2,52.2,8.0,1011.3,0.0
2019-4-25,18.0,6.8,51.0,7.8,1009.3,0.0
2019-4-26,18.2,10.6,61.8,11.0,1005.3,0.0
2019-4-27,18.7,11.3,65.7,4.9,1001.5,0.0
2019-4-28,18.6,11.0,64.1,8.1,1000.3,0.0
2019-4-29,18.3,9.3,60.0,12.8,1000.4,0.0
2019-4-30,16.8,7.4,57.9,14.2,999.9,0.0
2019-5-1,17.1,11.8,72.8,14.4,998.7,0.0
2019-5-2,17.6,10.2,63.1,12.6,997.7,0.0
2019-5-3,16.2,7.0,58.6,9.2,1000.0,0.0
2019-5-4,15.4,9.1,67.7,9.3,999.8,0.0
2019-5-5,17.3,11.1,69.0,17.3,996.7,0.0
2019-5-6,17.1,11.9,73.0,15.1,995.4,0.0
2019-5-7,15.6,8.9,65.9,15.6,997.3,0.0
2019-5-8,13.2,9.0,76.0,10.6,1002.1,0.0
2019-5-9,14.7,7.7,66.2,7.2,1000.1,0.0
2019-5-10,15.8,12.0,78.3,4.3,998.9,0.0
2019-5-11,18.1,11.0,66.5,8.8,1001.2,0.0
2019-5-12,18.6,9.6,60.1,6.9,1003.2,0.0
2019-5-13,19.9,9.8,56.9,6.4,1001.1,0.0
2019-5-14,22.0,9.0,48.4,10.3,999.1,0.0
